County,Old Chapter,News Chapters,Old Region,New Regions,FIPS,State,LAT,LONG, Population ,,,
Suwannee,North Central Florida,Capital Area Chapter,North,North and Central,12121,Florida,30.1956,-82.9915,"43,514",,,
Taylor,North Central Florida,Capital Area Chapter,South,North and Central,12123,Florida,30.047,-83.6035,"21,762",,,
Union,North Central Florida,Northeast Florida Chapter,Central,North and Central,12125,Florida,30.0439,-82.3714,"16,141",,,
Volusia,Central Florida Coast,Space Coast Chapter,North,North and Central,12127,Florida,29.0584,-81.1819,"548,783",,,
Wakulla,Capital Area,Capital Area Chapter,North,North and Central,12129,Florida,30.1673,-84.4007,"33,144",,,
Walton,Northwest Florida,Northwest Florida Chpater,North,North and Central,12131,Florida,30.6436,-86.1697,"73,456",,,
Washington,Northwest Florida,Northwest Florida Chpater,North,North and Central,12133,Florida,30.6106,-85.6653,"24,906",,,
,,,,,,,,,,,,
,North Central Florida,Northeast Florida Chapter,North,North and Central,,,,,,,,
,Northeast Florida,Northwest Florida Chapter,Central,South,,,,,,,,
,Northwest Florida,Space Coast Chapter,South,,,,,,,,,
,Central Florida Coast,Broward Chapter,,,,,,,,,,
, Broward,Northwest Florida Chpater,,,,,,,,,,
,Capital Area,Southwest Florida Chapter,,,,,,,,,,
,Southwest Gulf Coast to Glades,Mid Florida Chapter,,,,,,,,,,
,Tampa Bay,Florida Southern Gulf to Heartland Chapter,,,,,,,,,,
,Mid Florida,Capital Area Chapter,,,,,,,,,,
,Palm Beach to Treasure Coast,Tampa Bay Chapter,,,,,,,,,,
, Greater Miami to the Keys,Palm Beach & Treasure Coast Chapter,,,,,,,,,,
,,Greater Miami and the Keys Chapter,,,,,,,,,,
,,Greater Orlando,,,,,,,,,,
